清楚,0.1
这个,0.16
问题,0.65
的,0.58
原因,0.19
和,0.16
它,0.0
同,0.0
其他,0.35
问题,0.84
错综复杂,0.0
的,0.94
关系,0.71
的,0.26
身旁,0.0
就,0.0
是,0.35
纵横交错,0.0
的,0.9
交通,0.03
要道,0.1
各种,0.0
车辆,0.45
在,0.07
浓浓,0.0
的,0.81
黑,0.06
烟,0.45
中,0.77
飞驰,0.0
的,0.87
迪斯尼,0.0
先生,0.06
正,0.07
拉,0.0
着,0.77
可爱,0.0
的,1.0
米老鼠,0.1
的,0.1
小,0.03
手,0.87
向,0.1
朋友,0.0
们,0.32
挥手,0.13
致意,0.57
破坏力,0.0
与,0.0
落,0.0
在,0.07
日本,0.03
广岛,0.13
的,0.68
原子弹,0.74
不相上下,0.03
的,0.9
大,0.0
陨星石,0.0
将,0.03
袭击,0.03
美国,0.06
西部,0.03
才,0.0
从未,0.0
出现,0.03
过,0.61
可以,0.0
和,0.07
吉川幸次郎,0.0
媲美,0.03
的,0.93
日本,0.0
文学,0.0
研究家,0.0
冤假错案,0.0
要,0.03
毫不迟疑,0.0
地,0.35
依据,0.0
法律,0.35
来,0.06
处理,0.1
新保守主义者,0.0
想,0.0
让,0.0
民主,0.0
像,0.0
野草,0.0
一样,0.87
遍地,0.03
生长,0.48
地,0.1
印,0.03
在,0.63
他们,0.0
的,0.84
大脑,0.0
里,0.45
并,0.03
使,0.06
他们,0.9
能,0.06
游刃有余,0.0
地,0.74
与,0.0
对方,0.0
有,0.0
计划,0.0
地,0.53
周旋,0.1
只有,0.0
当,0.0
他,0.35
专注,0.0
于,0.42
某,0.45
件,0.42
事,0.97
时,0.23
他,0.39
才,0.94
会,0.26
在,0.0
这,0.38
方面,0.03
取得,0.16
成绩,0.13
知道,0.1
自己,0.0
为,0.17
什么,0.87
也,0.0
莫名其妙,0.0
地,0.84
加入,0.06
这,0.2
支,0.0
追逐,0.0
的,0.26
队伍,0.71
只有,0.0
阶级,0.0
敌人,0.03
才,0.81
会,0.29
这样,0.06
无情,0.0
地,0.68
污蔑,0.0
攻击,0.0
我们,0.3
的,0.77
干部,0.0
队伍,0.1
年,0.87
几乎,0.0
在,0.0
舞台,0.0
上,0.68
销声匿迹,0.0
的,0.9
实力派,0.0
歌手,0.16
张咪,0.0
突然,0.1
出现,0.42
在,0.94
首都,0.0
新闻界,0.0
也,0.0
是,0.4
由,0.0
死亡,0.0
的,0.71
小,0.0
生物,0.17
转化,0.03
来,0.06
的,0.97
标准,0.1
很,0.0
不,0.0
一样,0.1
比如,0.07
有,0.23
人,0.07
说,0.03
嫌贫爱富,0.0
的,0.0
婚姻,0.0
是,0.77
不,0.53
道德,0.52
的,1.0
巨大,0.0
的,0.97
市场,0.0
在,0.03
游戏,0.0
产业,0.13
中,0.32
无疑,0.0
应当,0.0
成为,0.1
主导,0.06
力量,0.16
他,0.03
发现,0.48
造成,0.0
这,0.48
种,0.26
破坏,0.0
的,0.68
罪魁祸首,0.0
是,0.87
水,0.0
中,0.13
产生,0.0
的,0.87
一种,0.03
气泡,0.0
密密麻麻,0.0
地,0.1
填,0.0
满,0.47
了,0.84
不同,0.03
的,0.94
天气,0.1
符号,0.3
这些,0.03
符号,0.77
都,0.1
是,0.26
有,0.1
根据,0.0
的,0.9
这样,0.06
我们,0.48
的,0.03
残疾人,0.0
运动员,0.03
还是,0.13
无怨无悔,0.0
地,0.68
投入,0.0
了,0.1
自己,0.0
的,0.84
青春,0.03
生命,0.0
工业,0.07
城市,0.03
一开始,0.0
就,0.81
具有,0.03
与,0.0
西方,0.0
不同,0.13
的,0.97
现代,0.0
气质,0.0
都,0.16
纳闷,0.0
我,0.16
是不是,0.0
与生俱来,0.0
就,0.26
长,0.0
了,0.1
一个,0.16
中国,0.0
情结,0.0
与,0.0
士兵,0.06
勇敢,0.0
地,0.48
为了,0.0
国家,0.16
和,0.06
人民,0.68
而,0.1
坚持,0.0
抗日,0.0
斗争,0.19
政治,0.0
派别,0.0
似乎,0.0
是,0.03
不约而同,0.0
地,0.65
提出,0.07
了,0.77
大体,0.0
相同,0.26
的,0.97
口号,0.03
这,0.18
不,0.0
是,0.42
偶然,0.07
的,0.81
巧合,0.1
孩子,0.0
们,0.52
每,0.0
到,0.03
暑假,0.03
往往,0.0
被,0.0
繁多,0.0
的,1.0
补习班,0.0
所,0.23
包围,0.0
希望,0.0
这些,0.0
不请自来,0.0
的,1.0
客人,0.29
赶快,0.0
离开,0.81
他,0.39
的,0.77
房子,0.06
为,0.0
他们,0.03
的,0.29
判决,0.0
竟,0.0
同,0.0
丘吉尔,0.0
和,0.0
杜鲁门,0.07
的,0.5
口吻,0.0
相同,0.37
而,0.73
大为,0.0
惊奇,0.03
本来,0.0
就,0.74
很,0.07
喜欢,0.13
这,0.19
种,0.03
粗俗,0.0
的,0.94
诙谐,0.0
觉得,0.0
它,0.03
只,0.0
不过,0.06
是,0.9
无伤大雅,0.0
的,1.0
玩笑,0.39
罢了,0.26
古老,0.0
的,0.97
仪典,0.0
已经,0.13
失传,0.06
很,0.1
多,0.1
年,0.94
直到,0.0
近,0.0
些,0.23
年,0.81
又,0.03
如,0.0
雨后春笋,0.24
般,0.81
冒,0.06
了,0.13
出来,0.97
种,0.0
声音,0.0
此起彼伏,0.0
地,0.39
叫,0.0
着,0.5
喊,0.03
着,0.81
有,0.0
许多,0.29
只,0.0
手,0.1
慌乱无措,0.0
地,0.74
挡,0.0
